data_format,postcode,year_completed,clue_small_area,clue_block,street_address,property_id,floors_above,resi_dwellings,studio_dwe,one_bdrm_dwe,two_bdrm_dwe,three_bdrm_dwe,student_apartments,student_beds,student accommodation units,intitutional_accom_beds,hotel_rooms,serviced_apartments,hotels_serviced_apartments,hostel_beds,childcare_places,office_flr,retail_flr,industrial_flr,storage_flr,education_flr,hospital_flr,recreation_flr,publicdispaly_flr,community_flr,car_spaces,bike_spaces,town_planning_application_no,Location 1
Pre May 16,3051,2013.0,North Melbourne,1012,201 Arden Street NORTH MELBOURNE VIC 3051,100552,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-37.80029861, 144.9410467)"
Pre May 16,3051,2007.0,North Melbourne,1012,229-235 Arden Street NORTH MELBOURNE VIC 3051,100556,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,"(-37.80037382, 144.9392856)"
Pre May 16,3052,2002.0,Parkville,903,192-198 The Avenue PARKVILLE VIC 3052,100615,4.0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-37.78295736, 144.9578135)"
Pre May 16,3053,2005.0,Carlton,257,24-30 Barkly Place CARLTON VIC 3053,100732,6.0,0,0,0,0,0,83,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-37.803003, 144.9614476)"
Pre May 16,3053,2002.0,Carlton,257,16-18 Barkly Place CARLTON VIC 3053,100734,5.0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-37.80320056, 144.9614195)"
Pre May 16,3004,2015.0,Melbourne (Remainder),659,Melbourne Park 200 Batman Avenue MELBOURNE VIC 3004,100847,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10000,0,0,0,0,0,"(-37.82129682, 144.9790068)"
Pre May 16,3003,2014.0,West Melbourne (Residential),101,49-53 Batman Street WEST MELBOURNE VIC 3003,100850,16.0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,"(-37.81113438, 144.9515544)"
Pre May 16,3003,2009.0,West Melbourne (Residential),444,115-129 Batman Street WEST MELBOURNE VIC 3003,100853,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2704,0,0,0,0,0,0,0,0,0,0,0,"(-37.8116145, 144.9493029)"
Pre May 16,3000,2003.0,Melbourne (CBD),87,11-21 Bennetts Lane MELBOURNE VIC 3000,101021,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,580,320,0,0,0,0,0,0,0,0,0,0,"(-37.80916563, 144.9676825)"
Pre May 16,3000,2010.0,Melbourne (CBD),87,10-14 Bennetts Lane MELBOURNE VIC 3000,101028,14.0,0,0,0,0,0,0,0,0,0,0,57,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-37.80905204, 144.967921)"
Pre May 16,3000,2013.0,Carlton,260,97-115 Berkeley Street MELBOURNE VIC 3000,101043,12.0,0,0,0,0,0,0,188,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-37.80310281, 144.9587954)"
Pre May 16,3000,2006.0,Carlton,239,223 Berkeley Street MELBOURNE VIC 3000,101049,8.0,0,0,0,0,0,70,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-37.80027561, 144.9584344)"
Pre May 16,3051,2003.0,North Melbourne,375,4-12 Blackwood Street NORTH MELBOURNE VIC 3051,101096,4.0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,572,0,0,0,0,0,0,0,0,0,0,0,"(-37.80191511, 144.9547459)"
Pre May 16,3000,2010.0,Melbourne (CBD),48,65-71 Bourke Street MELBOURNE VIC 3000,101114,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1191,0,0,0,0,0,0,0,0,0,0,0,"(-37.81227537, 144.9714501)"
Pre May 16,3000,2010.0,Melbourne (CBD),47,131-135 Bourke Street MELBOURNE VIC 3000,101118,25.0,0,0,0,0,0,0,0,0,0,0,380,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"(-37.81300651, 144.969468)"
